QuestionID,Correct Option(s)/ Answers
3666942481,3666947812
3666942482,3666947817
3666942483,3666947819
3666942484,3666947825
3666942485,3666947829
3666942486,3666947832
3666942487,3666947835
3666942488,3666947841
3666942489,3666947846
3666942490,3666947848
3666942491,3666947853
3666942492,3666947856
3666942493,3666947861
3666942494,3666947863
3666942495,3666947867
3666942496,3666947872
3666942497,3666947877
3666942498,3666947879
3666942499,3666947883
3666942500,3666947887
3666942501,2
3666942502,25
3666942503,828
3666942504,32
3666942505,40
3666942506,144
3666942507,40
3666942508,2
3666942509,1
3666942510,2
3666942511,3666947901
3666942512,3666947907
3666942513,3666947911
3666942514,3666947913
3666942515,3666947919
3666942516,3666947922
3666942517,3666947928
3666942518,3666947931
3666942519,3666947935
3666942520,3666947939
3666942521,3666947942
3666942522,3666947946
3666942523,3666947952
3666942524,3666947953
3666942525,3666947959
3666942526,3666947964
3666942527,3666947966
3666942528,3666947971
3666942529,3666947975
3666942530,3666947977
3666942531,364
3666942532,2
3666942533,499
3666942534,3
3666942535,12
3666942536,3
3666942537,15
3666942538,12
3666942539,2
3666942540,2
3666942541,3666947991
3666942542,3666947996
3666942543,3666948000
3666942544,3666948004
3666942545,3666948009
3666942546,3666948012
3666942547,3666948016
3666942548,3666948019
3666942549,3666948023
3666942550,3666948030
3666942551,3666948034
3666942552,3666948037
3666942553,3666948040
3666942554,3666948043
3666942555,3666948049
3666942556,3666948053
3666942557,3666948055
3666942558,3666948062
3666942559,3666948064
3666942560,3666948067
3666942561,14
3666942562,50400
3666942563,514
3666942564,29
3666942565,63
3666942566,754
3666942567,62
3666942568,1
3666942569,11
3666942570,3501 Aur shubham bhai kaun si shift thi aur kis din
